postalCode,price,n_rooms,living_area,equipped_kitchen,fireplace,terrace,area_terrace,garden,area_garden,n_facades
9000.0,435000.0,2.0,100.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0
1150.0,570000.0,2.0,105.0,1.0,0.0,1.0,8.0,0.0,0.0,2.0
1200.0,595000.0,4.0,150.0,1.0,0.0,1.0,9.0,0.0,0.0,2.0
1050.0,185000.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
1060.0,185000.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
1083.0,219000.0,2.0,98.0,1.0,1.0,1.0,7.0,0.0,0.0,2.0
2140.0,175000.0,2.0,102.0,1.0,1.0,1.0,20.0,0.0,0.0,3.0
1070.0,239000.0,2.0,82.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
4500.0,250000.0,3.0,98.0,1.0,1.0,1.0,18.0,0.0,0.0,2.0
8370.0,289000.0,2.0,68.0,1.0,1.0,1.0,18.0,0.0,0.0,2.0
9051.0,325000.0,2.0,91.0,1.0,0.0,1.0,15.0,0.0,0.0,2.0
1140.0,385000.0,2.0,92.0,1.0,0.0,1.0,10.0,0.0,0.0,2.0
2000.0,425000.0,3.0,108.0,1.0,0.0,1.0,10.0,0.0,0.0,2.0
1180.0,595000.0,3.0,133.0,1.0,1.0,1.0,15.0,0.0,0.0,2.0
1000.0,1250000.0,3.0,366.0,1.0,0.0,1.0,114.0,0.0,0.0,4.0
1080.0,180000.0,1.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
2900.0,209000.0,2.0,95.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0
1090.0,230000.0,3.0,117.0,1.0,0.0,1.0,8.0,0.0,0.0,2.0
2100.0,259000.0,2.0,106.0,1.0,1.0,1.0,6.0,0.0,0.0,3.0
1040.0,270000.0,1.0,65.0,1.0,0.0,1.0,17.0,0.0,0.0,2.0
1000.0,309000.0,1.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
1000.0,349000.0,2.0,97.0,1.0,0.0,1.0,5.0,0.0,0.0,3.0
1000.0,350000.0,2.0,104.0,1.0,0.0,1.0,9.0,0.0,0.0,3.0
1000.0,390000.0,2.0,94.0,1.0,0.0,1.0,8.0,0.0,0.0,4.0
1000.0,746000.0,3.0,161.0,1.0,0.0,1.0,14.0,0.0,0.0,4.0
1150.0,1095000.0,5.0,300.0,1.0,0.0,1.0,15.0,0.0,0.0,2.0
1000.0,385000.0,2.0,80.0,1.0,0.0,1.0,9.0,0.0,0.0,2.0
1080.0,129000.0,1.0,35.0,1.0,0.0,1.0,10.0,0.0,0.0,2.0
1030.0,345000.0,2.0,95.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0
1030.0,345000.0,1.0,95.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0
9031.0,349000.0,2.0,118.0,1.0,0.0,1.0,9.0,0.0,0.0,3.0
1000.0,365000.0,5.0,134.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
1170.0,620000.0,2.0,160.0,1.0,0.0,1.0,40.0,0.0,0.0,2.0
9100.0,399000.0,2.0,125.0,1.0,1.0,1.0,18.0,0.0,0.0,2.0
9100.0,399000.0,2.0,125.0,1.0,1.0,1.0,18.0,0.0,0.0,2.0
1000.0,250000.0,2.0,86.0,1.0,0.0,1.0,7.0,0.0,0.0,2.0
1030.0,250000.0,2.0,86.0,1.0,0.0,1.0,7.0,0.0,0.0,2.0
1040.0,250000.0,2.0,86.0,1.0,0.0,1.0,7.0,0.0,0.0,2.0
1000.0,270000.0,2.0,86.0,1.0,0.0,1.0,7.0,0.0,0.0,2.0
9200.0,339000.0,2.0,92.0,1.0,1.0,1.0,6.0,0.0,0.0,2.0
2861.0,190000.0,1.0,67.0,1.0,1.0,1.0,8.0,0.0,0.0,4.0
4100.0,160000.0,2.0,65.0,1.0,0.0,1.0,16.0,0.0,0.0,2.0
2800.0,174000.0,0.0,34.0,1.0,0.0,1.0,16.0,0.0,0.0,2.0
1480.0,179000.0,1.0,61.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0
1080.0,180000.0,0.0,43.0,1.0,0.0,1.0,5.0,0.0,0.0,2.0
1700.0,265000.0,2.0,105.0,1.0,0.0,1.0,5.0,0.0,0.0,2.0
1180.0,380000.0,2.0,85.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0
2000.0,695000.0,2.0,117.0,1.0,0.0,1.0,8.0,0.0,0.0,2.0
1000.0,745000.0,3.0,190.0,1.0,0.0,1.0,27.0,0.0,0.0,2.0
1081.0,130000.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1000.0,325000.0,2.0,87.0,1.0,0.0,1.0,7.0,0.0,0.0,2.0
1190.0,295000.0,2.0,92.0,1.0,0.0,1.0,6.0,0.0,0.0,2.0
1190.0,135000.0,1.0,60.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0
4500.0,269500.0,2.0,90.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
1030.0,425000.0,3.0,137.0,1.0,0.0,1.0,8.0,0.0,0.0,3.0
1200.0,495000.0,4.0,160.0,1.0,0.0,1.0,30.0,0.0,0.0,2.0
2018.0,595000.0,2.0,152.0,0.0,0.0,1.0,12.0,0.0,0.0,2.0
1000.0,275000.0,1.0,75.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0
2800.0,325000.0,2.0,96.0,1.0,1.0,1.0,4.0,0.0,0.0,2.0
1200.0,430000.0,2.0,107.0,1.0,0.0,0.0,0.0,1.0,400.0,2.0
8300.0,795000.0,2.0,88.0,1.0,0.0,1.0,18.0,0.0,0.0,2.0
1030.0,180000.0,2.0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
1070.0,199990.0,2.0,80.0,1.0,0.0,1.0,17.0,0.0,0.0,2.0
1040.0,315000.0,2.0,70.0,1.0,0.0,1.0,9.0,0.0,0.0,2.0
8430.0,375000.0,1.0,65.0,1.0,1.0,1.0,18.0,0.0,0.0,2.0
8380.0,299000.0,2.0,106.0,1.0,1.0,1.0,10.0,0.0,0.0,2.0
2018.0,339000.0,2.0,90.0,1.0,0.0,1.0,15.0,0.0,0.0,2.0
6900.0,198000.0,3.0,124.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0
8370.0,279000.0,2.0,70.0,1.0,1.0,1.0,18.0,0.0,0.0,2.0
1180.0,460000.0,2.0,104.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0
1040.0,645000.0,4.0,182.0,1.0,0.0,1.0,30.0,0.0,0.0,2.0
1030.0,205000.0,0.0,52.0,1.0,1.0,1.0,12.0,0.0,0.0,2.0
9230.0,229000.0,2.0,91.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
1140.0,249000.0,2.0,93.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
1640.0,255000.0,2.0,72.0,1.0,1.0,1.0,29.0,0.0,0.0,2.0
2020.0,260000.0,2.0,85.0,1.0,0.0,1.0,11.0,0.0,0.0,1.0
1210.0,270000.0,1.0,65.0,1.0,0.0,1.0,5.0,0.0,0.0,2.0
1050.0,450000.0,2.0,112.0,1.0,0.0,1.0,5.0,0.0,0.0,2.0
1000.0,460000.0,3.0,146.0,1.0,0.0,1.0,52.0,0.0,0.0,2.0
1000.0,460000.0,3.0,153.0,1.0,0.0,1.0,52.0,0.0,0.0,2.0
1050.0,489000.0,2.0,110.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
1150.0,595000.0,4.0,181.0,1.0,0.0,1.0,29.0,0.0,0.0,2.0
2018.0,1195000.0,4.0,370.0,1.0,0.0,1.0,18.0,1.0,115.0,2.0
9000.0,175000.0,2.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
1140.0,215000.0,2.0,70.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0
1140.0,215000.0,2.0,70.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0
1030.0,279000.0,4.0,153.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0
1040.0,650000.0,3.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1040.0,695000.0,2.0,146.0,1.0,1.0,1.0,10.0,0.0,0.0,2.0
8660.0,275000.0,2.0,76.0,1.0,0.0,1.0,32.0,0.0,0.0,2.0
1000.0,395000.0,2.0,101.0,1.0,1.0,1.0,9.0,0.0,0.0,2.0
6210.0,170000.0,1.0,45.0,1.0,0.0,1.0,8.0,0.0,0.0,2.0
1200.0,240000.0,2.0,74.0,1.0,0.0,1.0,17.0,0.0,0.0,2.0
1000.0,245000.0,2.0,79.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
1090.0,249000.0,2.0,100.0,1.0,0.0,1.0,12.0,0.0,0.0,2.0
1080.0,275000.0,2.0,91.0,1.0,0.0,1.0,7.0,0.0,0.0,4.0
1180.0,280000.0,2.0,83.0,1.0,1.0,1.0,19.0,0.0,0.0,2.0
1700.0,285000.0,2.0,105.0,1.0,0.0,1.0,5.0,1.0,60.0,2.0
1150.0,330000.0,2.0,83.0,1.0,0.0,1.0,18.0,0.0,0.0,2.0
1070.0,349000.0,2.0,165.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
1200.0,495000.0,3.0,126.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
9800.0,625000.0,3.0,246.0,1.0,0.0,1.0,27.0,0.0,0.0,4.0
1180.0,295000.0,2.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
1000.0,550000.0,3.0,138.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0
4430.0,99000.0,1.0,56.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0
4820.0,99000.0,2.0,94.0,1.0,0.0,1.0,18.0,0.0,0.0,4.0
4820.0,99000.0,2.0,94.0,1.0,0.0,1.0,32.0,0.0,0.0,4.0
4020.0,105000.0,1.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4020.0,129000.0,1.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
4040.0,129000.0,2.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
1030.0,137500.0,1.0,28.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0
4690.0,138000.0,2.0,72.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0
2830.0,139000.0,2.0,78.0,1.0,1.0,1.0,18.0,0.0,0.0,2.0
1070.0,144720.0,1.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
1200.0,145000.0,1.0,35.0,1.0,0.0,1.0,7.0,0.0,0.0,2.0
8370.0,149000.0,1.0,59.0,1.0,1.0,1.0,18.0,0.0,0.0,2.0
4500.0,149500.0,2.0,75.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
1300.0,150000.0,2.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
1030.0,155000.0,0.0,32.0,1.0,0.0,1.0,13.0,0.0,0.0,2.0
1030.0,155000.0,1.0,42.0,1.0,0.0,1.0,5.0,0.0,0.0,2.0
4000.0,155000.0,2.0,98.0,1.0,1.0,1.0,5.0,0.0,0.0,2.0
4610.0,155000.0,1.0,57.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0
2060.0,157000.0,1.0,32.0,1.0,1.0,1.0,5.0,0.0,0.0,2.0
2140.0,159000.0,2.0,80.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0
4000.0,159000.0,2.0,75.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0
9600.0,159000.0,2.0,84.0,1.0,0.0,1.0,12.0,0.0,0.0,2.0
6880.0,163000.0,2.0,80.0,1.0,0.0,1.0,23.0,0.0,0.0,2.0
4020.0,164000.0,1.0,76.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
1030.0,169000.0,1.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
1500.0,169000.0,2.0,78.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0
1501.0,169000.0,2.0,78.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0
4000.0,169000.0,1.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
4500.0,169000.0,3.0,97.0,1.0,1.0,1.0,8.0,0.0,0.0,2.0
4680.0,169000.0,4.0,119.0,1.0,0.0,0.0,0.0,1.0,649.0,3.0
8370.0,169000.0,1.0,67.0,1.0,1.0,1.0,18.0,0.0,0.0,2.0
9600.0,169000.0,2.0,74.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0
9100.0,169900.0,1.0,50.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0
1060.0,170000.0,1.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
2870.0,172000.0,1.0,74.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2100.0,174000.0,2.0,76.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2140.0,174000.0,2.0,76.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4340.0,175000.0,1.0,54.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9600.0,175000.0,3.0,109.0,1.0,1.0,1.0,18.0,0.0,0.0,2.0
