url,region,province,district,postalCode,locality,street,Type_property,subtype_property,price,type_transaction,floor,n_rooms,living_area,equipped_kitchen,furnished,fireplace,terrace,area_terrace,garden,area_garden,land_surface,n_facades,n_floorCount,swimming_pool,state_building
https://www.immoweb.be/en/classified/penthouse/for-sale/embourg/4053/10681832,Wallonie,Liège,Liège,4053,Embourg,Rue du Vieux Chemin,APARTMENT,PENTHOUSE,399000,FOR_SALE,1,3,145,1,0,1,1,20,0,0,0,3,1,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/embourg/4053/10681830,Wallonie,Liège,Liège,4053,Embourg,Rue du Vieux Chemin,APARTMENT,APARTMENT,399000,FOR_SALE,1,3,145,1,0,1,1,20,0,0,0,3,1,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10681956,Brussels,Brussels,Brussels,1050,Ixelles,Rue du Tabellion,APARTMENT,APARTMENT,465000,FOR_SALE,2,2,95,1,0,0,1,4,0,0,0,2,5,0,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10681410,Brussels,Brussels,Brussels,1200,Woluwe-Saint-Lambert,Théodore De Cuyper,APARTMENT,APARTMENT,595000,FOR_SALE,1,3,120,1,0,0,1,13,0,0,0,,5,0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/wichelen%20serskamp/9260/10678924,Flanders,East Flanders,Dendermonde,9260,Wichelen Serskamp,Biesakker,APARTMENT,APARTMENT,195000,FOR_SALE,2,2,91,1,0,0,1,,0,0,0,3,1,0,AS_NEW
https://www.immoweb.be/en/classified/penthouse/for-sale/li%C3%A8ge/4020/10679101,Wallonie,Liège,Liège,4020,Liège,Quai Gloesener,APARTMENT,PENTHOUSE,375000,FOR_SALE,5,3,214,1,0,0,0,0,0,0,0,2,5,0,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/apartment/for-sale/st-amandsberg/9040/10687323,Flanders,East Flanders,Gent,9040,St-Amandsberg,Toekomststraat,APARTMENT,APARTMENT,254000,FOR_SALE,1,2,95,0,0,0,1,,0,0,0,2,,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10677844,Flanders,East Flanders,Gent,9000,Gent,Land van Waaslaan,APARTMENT,APARTMENT,185000,FOR_SALE,2,2,101,1,0,1,1,2,0,0,0,2,2,0,TO_RESTORE
https://www.immoweb.be/en/classified/flat-studio/for-sale/sint-lambrechts-woluwe/1200/10676921,Brussels,Brussels,Brussels,1200,SINT-LAMBRECHTS-WOLUWE,JACQUES BRELLAAN,APARTMENT,FLAT_STUDIO,199000,FOR_SALE,2,0,31,1,1,1,1,3,0,0,0,4,4,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10676530,Flanders,West Flanders,Brugge,8300,Knokke-Heist,Paul Parmentierlaan,APARTMENT,APARTMENT,594000,FOR_SALE,2,3,78,1,1,0,1,6,0,0,0,2,5,0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10479538,Flanders,West Flanders,Brugge,8300,Knokke-Heist,Swolfsstraat,APARTMENT,APARTMENT,647500,FOR_SALE,1,2,74,1,0,0,1,,0,0,0,2,,0,JUST_RENOVATED
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10685977,Brussels,Brussels,Brussels,1200,Woluwe-Saint-Lambert,Avenue de Broqueville,APARTMENT,APARTMENT,310000,FOR_SALE,4,2,85,1,0,0,1,3,0,0,0,2,7,0,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10685922,Brussels,Brussels,Brussels,1050,Ixelles,Rue de la Réforme,APARTMENT,APARTMENT,380000,FOR_SALE,1,1,74,1,0,0,1,,0,0,0,2,3,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10686762,Flanders,West Flanders,Brugge,8300,Knokke-Heist,Zeedijk-Knokke,APARTMENT,APARTMENT,1095000,FOR_SALE,3,2,65,1,0,0,0,0,0,0,0,2,9,0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/arlon/6700/10673143,Wallonie,Luxembourg,Arlon,6700,Arlon,Route de Diekirch,APARTMENT,APARTMENT,230000,FOR_SALE,2,1,54,1,0,1,1,,0,0,0,,,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/aubange/6790/10673142,Wallonie,Luxembourg,Arlon,6790,Aubange,Rue de Longwy,APARTMENT,APARTMENT,260000,FOR_SALE,1,2,110,1,0,1,0,0,1,,0,4,,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10673608,Flanders,East Flanders,Gent,9000,Gent,Sente Clarenhof,APARTMENT,APARTMENT,299000,FOR_SALE,3,1,76,1,0,1,1,9,0,0,0,2,3,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/gentbrugge/9050/10673609,Flanders,East Flanders,Gent,9050,GENTBRUGGE,Sente Clarenhof,APARTMENT,APARTMENT,299000,FOR_SALE,3,1,76,1,0,1,1,9,0,0,0,2,3,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10631448,Flanders,East Flanders,Gent,9000,Gent,Gustaaf Callierlaan,APARTMENT,APARTMENT,405000,FOR_SALE,3,3,110,1,0,1,0,0,0,0,0,2,7,0,JUST_RENOVATED
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10673204,Brussels,Brussels,Brussels,1180,Uccle,Avenue Ptolémée,APARTMENT,APARTMENT,750000,FOR_SALE,1,2,197,1,0,0,1,40,0,0,0,4,6,0,AS_NEW
https://www.immoweb.be/en/classified/flat-studio/for-sale/antwerp/2000/10685241,Flanders,Antwerp,Antwerp,2000,Antwerp,Jeruzalemstraat,APARTMENT,FLAT_STUDIO,115000,FOR_SALE,4,1,32,1,0,1,0,0,0,0,0,2,4,0,GOOD
https://www.immoweb.be/en/classified/flat-studio/for-sale/antwerp/2000/10685240,Flanders,Antwerp,Antwerp,2000,Antwerp,Jeruzalemstraat,APARTMENT,FLAT_STUDIO,115000,FOR_SALE,4,1,32,1,0,1,0,0,0,0,0,2,4,0,GOOD
https://www.immoweb.be/en/classified/flat-studio/for-sale/antwerp/2000/10685239,Flanders,Antwerp,Antwerp,2000,Antwerp,Jeruzalemstraat,APARTMENT,FLAT_STUDIO,115000,FOR_SALE,4,1,32,1,0,1,0,0,0,0,0,2,4,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge/4000/10685381,Wallonie,Liège,Liège,4000,Liège,Place des Déportés,APARTMENT,APARTMENT,169500,FOR_SALE,6,2,72,0,0,1,1,4,0,0,0,2,,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/10685049,Brussels,Brussels,Brussels,1190,Forest,Rue de Mérode,APARTMENT,APARTMENT,290000,FOR_SALE,1,3,120,1,0,0,1,25,0,0,0,2,4,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/10650385,Brussels,Brussels,Brussels,1040,Etterbeek,Place Du Roi Vainqueur - Koning Overwinnaarplein,APARTMENT,APARTMENT,349000,FOR_SALE,5,2,85,0,0,0,1,6,0,0,0,3,5,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/10684546,Brussels,Brussels,Brussels,1040,Etterbeek,Place du Roi Vainqueur,APARTMENT,APARTMENT,379000,FOR_SALE,1,2,105,0,0,0,1,10,0,0,0,3,6,0,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10684930,Brussels,Brussels,Brussels,1200,Woluwe-Saint-Lambert,Avenue Marcel Thiry,APARTMENT,APARTMENT,398000,FOR_SALE,4,2,90,1,0,0,1,,0,0,0,2,7,0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10683901,Brussels,Brussels,Brussels,1180,Uccle,Avenue Winston Churchill,APARTMENT,APARTMENT,435000,FOR_SALE,2,2,95,1,0,0,1,,0,0,0,2,6,0,AS_NEW
https://www.immoweb.be/en/classified/penthouse/for-sale/schaerbeek/1020/10685231,Brussels,Brussels,Brussels,1020,Schaerbeek,Mimosasstraat,APARTMENT,PENTHOUSE,550000,FOR_SALE,4,2,130,1,0,1,1,50,0,0,0,,4,0,JUST_RENOVATED
https://www.immoweb.be/en/classified/penthouse/for-sale/ixelles/1050/10672667,Brussels,Brussels,Brussels,1050,Ixelles,Rue de l'Abbaye,APARTMENT,PENTHOUSE,200000,FOR_SALE,4,1,43,1,0,0,1,8,0,0,0,2,5,0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/leuven/3000/10672892,Flanders,Flemish Brabant,Leuven,3000,Leuven,Fonteinstraat,APARTMENT,APARTMENT,295000,FOR_SALE,7,2,81,1,0,0,1,12,0,0,0,2,,0,GOOD
https://www.immoweb.be/en/classified/duplex/for-sale/mechelen/2800/10672808,Flanders,Antwerp,Mechelen,2800,Mechelen,Dijle,APARTMENT,DUPLEX,339000,FOR_SALE,1,2,90,1,0,1,1,5,1,6,0,1,2,0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/watermael-boitsfort/1170/10672511,Brussels,Brussels,Brussels,1170,Watermael-Boitsfort,Avenue du Martin-Pêcheur,APARTMENT,APARTMENT,345000,FOR_SALE,5,2,88,1,0,0,1,17,0,0,0,,8,0,JUST_RENOVATED
https://www.immoweb.be/en/classified/penthouse/for-sale/uccle/1180/10673039,Brussels,Brussels,Brussels,1180,Uccle,Avenue Winston Churchill,APARTMENT,PENTHOUSE,520000,FOR_SALE,5,3,120,1,0,0,1,15,0,0,0,2,5,0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10672778,Flanders,East Flanders,Gent,9000,Gent,Coupure Links,APARTMENT,APARTMENT,549000,FOR_SALE,1,3,145,1,0,0,1,3,0,0,0,4,,0,TO_BE_DONE_UP
https://www.immoweb.be/en/classified/apartment/for-sale/dilbeek/1700/10681373,Flanders,Flemish Brabant,Halle-Vilvoorde,1700,Dilbeek,Sint-Antoniuslaan,APARTMENT,APARTMENT,260000,FOR_SALE,2,2,105,1,0,0,1,5,0,0,0,2,3,0,GOOD
https://www.immoweb.be/en/classified/penthouse/for-sale/ninove/9400/10686210,Flanders,East Flanders,Aalst,9400,Ninove,Stationsstraat,APARTMENT,PENTHOUSE,175000,FOR_SALE,3,3,90,1,0,1,0,0,0,0,0,2,4,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10686352,Brussels,Brussels,Brussels,1070,Anderlecht,Rue d'Aumale,APARTMENT,APARTMENT,331000,FOR_SALE,2,2,95,1,0,0,1,6,0,0,0,2,4,0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8000/10686350,Flanders,West Flanders,Brugge,8000,Brugge,Langestraat,APARTMENT,APARTMENT,395000,FOR_SALE,1,2,115,1,0,0,1,30,0,0,0,2,3,0,AS_NEW
https://www.immoweb.be/en/classified/apartment/for-sale/rocourt/4000/10672098,Wallonie,Liège,Liège,4000,ROCOURT,Clos des Lavandières,APARTMENT,APARTMENT,420000,FOR_SALE,3,3,144,1,0,1,1,18,0,0,0,,3,0,GOOD
https://www.immoweb.be/en/classified/apartment/for-sale/sint-pieters-woluwe/1150/10672317,Brussels,Brussels,Brussels,1150,Sint-Pieters-Woluwe,Avenue de Tervuren,APARTMENT,APARTMENT,765000,FOR_SALE,5,4,253,1,0,0,1,11,0,0,0,2,7,0,GOOD
